Time;"Waterlevel 
(mm)";"Heat Flux_Bottom 
(W/m2)";"Temp_air
(?)";"Temp_surface
(?)";"Temp_30mm
(?)";"Temp_60mm
(?)";"Temp_100mm
(?)";"Temp_200mm
(?)";"Temp_500mm
(?)";"Temp_1200mm
(?)";"Temp_CoverBottom
(?)";"Temp_CoverTop
(?)"
17.10.2017 00:00;0.0;2.2853;7.526;14.02;13.01;13.02;13.02;13.03;13.06;13.06;12.44;4.035
17.10.2017 00:10;0.0;2.2853;6.873;14.01;13.01;13.02;13.03;13.04;13.07;13.08;12.51;3.234
17.10.2017 00:20;0.0;2.2780;7.005;13.98;13;13.03;13.03;13.05;13.06;13.1;12.26;3.17
17.10.2017 00:30;0.0;2.3885;7.291;13.91;13.01;13.01;13.02;13.04;13.05;13.01;12.47;3.893
17.10.2017 00:40;0.0;2.4105;7.47;13.89;13;13.02;13.02;13.03;13.06;13.04;12.54;4.664
17.10.2017 00:50;0.0;2.3555;7.507;13.81;12.99;13.01;13.01;13.03;13.05;13.03;12.43;4.215
17.10.2017 01:00;0.0;2.2450;6.663;13.75;12.99;13;13.01;13.02;13.04;13.03;12.38;3.132
17.10.2017 01:10;0.0;2.2118;6.837;13.72;12.98;13;13;13.02;13.04;13.05;12.3;3.24
17.10.2017 01:20;0.0;2.3516;6.394;13.7;12.96;12.99;12.99;13.03;13.03;13.04;12.26;3.557
17.10.2017 01:30;0.0;2.3369;6.567;13.66;12.97;12.98;12.99;13;13.02;13.02;12.27;3.387
17.10.2017 01:40;0.0;2.3701;6.301;13.64;12.96;12.99;12.99;13;13.03;13.02;12.33;3.188
17.10.2017 01:50;0.0;2.3481;6.592;13.61;12.97;12.97;12.99;13;13.01;12.99;12.36;3.521
17.10.2017 02:00;0.0;2.3299;5.711;13.59;12.93;12.96;12.97;12.98;13;13.03;12.21;2.477
17.10.2017 02:10;0.0;2.3928;4.92;13.6;12.94;12.96;12.95;12.98;12.99;13;12.17;2.162
